Ciudad,# Centro,Centro,# Planta Mensual,# Bajas Mensual,% Rotación Mensual,Planta Promedio AM,# Bajas Anual Movil,Rotación AM
"NAVOJOA, SON.",753760,,6,0,0,8,12,1.5
"GUAYMAS, SONORA",674001,#N/A,13,2,0.15384615384615385,2,3,1.5
"TLACOTEPEC, PUE",104703,TLCT 1047 CAJ JUAREZ,4,1,0.25,4,6,1.5
AGUAPRIETA SON,24090,AGPT 240 AFO CALLE 13,2,0,0,2,3,1.5
"EMILIANO ZAPATA, MOR",96990,,1,1,1,2,3,1.5
"DELICIAS, CHIU.",118402,DLCS 1184 ROP EL CHARRO,13,3,0.23076923076923078,14,21,1.5
"MONTERREY, N.L.",154001,,9,1,0.1111111111111111,10,15,1.5
"ZAPOPAN, JAL.",250650,,1,0,0,2,3,1.5
"ZAPOPAN, JAL.",250521,ZPPN APPWHATSAPP FEATU FUN COM,0,0,0,2,3,1.5
"HERMOSILLO, SON",1890,,2,0,0,2,3,1.5
TLALNEPANTLA DE,231364,,19,1,0.05263157894736842,16,24,1.5
"TECAMAC, EDO ME",653190,TCMC 1531 AFO SIERRA HERMOSA,2,0,0,2,3,1.5
TLAQUEPAQUE,159505,TLQP DESCARGA II,30,6,0.2,34,51,1.5
"ROSARITO, BCN",22590,,2,0,0,2,3,1.5
"LINARES, N.L",28680,,8,0,0,8,12,1.5
"FRONTERA, TAB",35990,FTRA 359 AFO JUAN DE GRIJALVA,2,1,0.5,2,3,1.5
TEXCOCO EDO MEX,44303,,4,1,0.25,4,6,1.5
"POZA RICA, VER.",28202,PZRC 282 ROP CARDENAS,32,4,0.125,30,45,1.5
"ZACATECAS, ZAC",24390,ZCTS 243 AFO TACUBA,1,0,0,2,3,1.5
COATZACOALCOS,91601,,7,4,0.5714285714285714,10,15,1.5
"APODACA, N.L.",132601,,5,0,0,4,6,1.5
"PESQUERIA, NL",768802,,6,0,0,6,9,1.5
"ZAPOPAN, JAL.",8390,ZPPN 83 AFO BRISEÐO,1,0,0,2,3,1.5
"TOLUCA, EDO MEX",251023,,3,0,0,2,3,1.5
"TIANGUISTENCO,EDOMEX",91190,SNTG 911 AFO NICOLAS BRAVO,2,0,0,2,3,1.5
CUAJIMALPA D.F.,317701,CJMP ZONA,2,0,0,2,3,1.5
